Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Year
Accident,GAA20CA010,2019-10-08,"Fallon, NV",United States,Non-Fatal,Substantial,Airplane,CESSNA,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,GAA20CA042,2019-10-09,"Somerville, TN",United States,Non-Fatal,Substantial,Airplane,BEECH,19,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,GAA20CA008,2019-10-10,"Big Flats, NY",United States,Non-Fatal,Substantial,Airplane,PIPER,PA18,No,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,GAA20CA017,2019-10-10,"Dayton, OH",United States,Non-Fatal,Substantial,Airplane,PIPER,PA28,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,GAA20CA009,2019-10-10,"Waynesburg, PA",United States,Non-Fatal,Substantial,Airplane,AERONCA,7AC,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,CEN20FA010,2019-10-10,"Aberdeen, SD",United States,Fatal,Destroyed,Airplane,CESSNA,172,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,unknown,2019
Accident,GAA20CA018,2019-10-11,"Langley, WA",United States,Non-Fatal,Substantial,Airplane,FOXWORTHY RICK A,SONEX,Yes,1.0,Reciprocating,Flight Test,0.0,0.0,1.0,0.0,VMC,unknown,2019
Accident,GAA20CA020,2019-10-11,"Willacoochee, GA",United States,Non-Fatal,Substantial,Airplane,AYRES,S2R,No,1.0,Turbo Prop,Aerial Application,0.0,1.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA027,2019-10-11,"Gastonia, NC",United States,Non-Fatal,Substantial,Airplane,ZENITH,ZENITH 601XLB,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA021,2019-10-11,"Cedartown, GA",United States,Non-Fatal,Substantial,Airplane,WINGTIP TO WINGTIP LLC,PANZL S-330,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,12.0,VMC,unknown,2019
Accident,GAA20CA026,2019-10-12,"Lusby, MD",United States,Non-Fatal,Substantial,Airplane,"LLEWELLYN, WARWINC W",Vans RV-4,Yes,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA011,2019-10-12,"Henrys Lake, ID",United States,Non-Fatal,Substantial,Airplane,CHAMPION,8GCBC,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,GAA20CA024,2019-10-12,"Greenville, TX",United States,Non-Fatal,Substantial,Airplane,CESSNA,180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,CEN20LA016,2019-10-13,"Springtown, TX",United States,Non-Fatal,Substantial,Airplane,PIPER,PA-28R-200,No,1.0,Reciprocating,Positioning,0.0,1.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA015,2019-10-13,"Goddard, KS",United States,Non-Fatal,Substantial,Airplane,TAYLORCRAFT,BC12,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,ANC20LA002,2019-10-13,"Palmer, AK",United States,Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,ANC20CA006,2019-10-13,"Moose Pass, AK",United States,Non-Fatal,Substantial,Airplane,PIPER,PA18,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,GAA20CA013,2019-10-14,"Breckenridge, TX",United States,Non-Fatal,Substantial,Airplane,SOCATA,TBM700,No,1.0,Turbo Prop,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,GAA20CA022,2019-10-14,"Douglas, GA",United States,Non-Fatal,Substantial,Airplane,BEECH,36,No,1.0,Turbo Prop,Personal,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,ERA20FA009,2019-10-14,"Cameron, NC",United States,Fatal,Substantial,Airplane,VANS,RV4,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA045,2019-10-14,"Buckeye, AZ",United States,Non-Fatal,Substantial,Airplane,AEROPRO CZ,A220,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Incident,WPR20WA011,2019-10-15,"Singapore, Senegal",Senegal,Non-Fatal,Minor,Airplane,DIAMOND,DA42,No,0.0,unknown,unknown,0.0,0.0,0.0,1.0,Unknown,unknown,2019
Accident,GAA20CA014,2019-10-15,"Colorado Springs, CO",United States,Non-Fatal,Substantial,Airplane,PIPER,PA38,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,GAA20CA023,2019-10-15,"Louisville, KY",United States,Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,GAA20CA028,2019-10-15,"Lebanon, NH",United States,Non-Fatal,Substantial,Airplane,LUSCOMBE,8,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA029,2019-10-15,"Flannigan, NV",United States,Non-Fatal,Substantial,Airplane,CESSNA,180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Incident,ENG20LA001,2019-10-15,"West Flanders Province, Belgium",Belgium,Non-Fatal,Minor,Airplane,AIRBUS,BD-500-1A11 (CS300),No,2.0,unknown,unknown,0.0,0.0,0.0,0.0,Unknown,unknown,2019
Accident,GAA20CA030,2019-10-16,"Gerlach, NV",United States,Non-Fatal,Substantial,Airplane,PIPER,PA18,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,GAA20CA031,2019-10-17,"Alvin, TX",United States,Non-Fatal,Substantial,Airplane,ERCOUPE,415,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,GAA20CA032,2019-10-17,"Monument Valley, UT",United States,Non-Fatal,Substantial,Airplane,FLIGHT DESIGN,CTLS,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,unknown,2019
Accident,CEN20FA008,2019-10-17,"Green Bay, WI",United States,Fatal,Substantial,Airplane,AERONCA,7AC,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA033,2019-10-17,"Fabens, TX",United States,Non-Fatal,Substantial,Airplane,WEATHERLY,620,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,DCA20CA003,2019-10-17,"Tres Pinos, CA",United States,Non-Fatal,Substantial,Airplane,KITTY HAWK,Heaviside2,No,8.0,Electric,Flight Test,0.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA046,2019-10-17,"New Braunfels, TX",United States,Non-Fatal,Substantial,Airplane,CESSNA,L19,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,CEN20LA021,2019-10-17,"Unknown,",United States,Fatal,Destroyed,Airplane,PIPER,PA23,No,2.0,unknown,Personal,1.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,WPR20LA009,2019-10-18,"Stockton, CA",United States,Non-Fatal,Substantial,Airplane,CESSNA,206,No,1.0,Reciprocating,Instructional,0.0,2.0,0.0,0.0,VMC,unknown,2019
Accident,DCA20MA002,2019-10-18,"Unalaska, AK",United States,Fatal,Substantial,Airplane,SAAB,2000,No,2.0,Turbo Prop,unknown,1.0,3.0,1.0,37.0,VMC,unknown,2019
Accident,GAA20CA043,2019-10-18,"Knoxville, TN",United States,Non-Fatal,Substantial,Airplane,ZENAIR,ZENITH 801,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,GAA20CA036,2019-10-18,"Marble Canyon, AZ",United States,Non-Fatal,Substantial,Airplane,TITAN,TITAN TORNADO II,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,ERA20WA015,2019-10-18,"Nassau, Bahamas",Bahamas,Non-Fatal,Substantial,Airplane,DOUGLAS,DC3C S1C3G,No,2.0,Reciprocating,unknown,0.0,2.0,0.0,0.0,Unk,unknown,2019
Accident,ERA20LA017,2019-10-18,"Shellman, GA",United States,Non-Fatal,Destroyed,Airplane,AYRES,S2R,No,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,ERA20LA018,2019-10-18,"Madisonville, TN",United States,Non-Fatal,Substantial,Airplane,BEECH,N35,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,CEN20WA011,2019-10-19,"San Salvador, Spain",Spain,Fatal,Destroyed,Airplane,CESSNA,172,No,1.0,unknown,Unknown,2.0,0.0,2.0,0.0,Unknown,unknown,2019
Accident,GAA20CA079,2019-10-19,"Quakertown, PA",United States,Non-Fatal,Substantial,Airplane,PIPER,PA28,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,GAA20CA039,2019-10-20,"Safford, AZ",United States,Non-Fatal,Substantial,Airplane,ZENAIR,CH 701,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,WPR20FA008,2019-10-20,"Angel Fire, NM",United States,Fatal,Substantial,Airplane,PIPER,PA 24,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA038,2019-10-20,"Wedgefield, FL",United States,Non-Fatal,Substantial,Airplane,PIPER,PA28,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,IMC,unknown,2019
Accident,ERA20FA014,2019-10-20,"Raleigh, NC",United States,Fatal,Destroyed,Airplane,PIPER,PA32,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA040,2019-10-20,"Reno, NV",United States,Non-Fatal,Substantial,Airplane,KITFOX,S7,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,CEN20FA009,2019-10-20,"White Plains, AL",United States,Fatal,Destroyed,Airplane,VANS,RV-8,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20WA077,2019-10-20,"La Piedad, Mexico",Mexico,Fatal,Substantial,Airplane,CESSNA,310,No,0.0,unknown,unknown,2.0,0.0,0.0,0.0,Unknown,unknown,2019
Accident,GAA20CA041,2019-10-21,"Nantucket, MA",United States,Non-Fatal,Substantial,Airplane,MAULE,MX7,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,GAA20WA065,2019-10-21,"Belo Horizonte, Brazil",Brazil,Fatal,Destroyed,Airplane,CIRRUS,SR20,No,0.0,unknown,unknown,2.0,0.0,2.0,0.0,Unknown,unknown,2019
