Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Year
Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,Non-Fatal,Substantial,Airplane,CESSNA,140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,1982
Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Substantial,Airplane,CESSNA,401B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Landing,1982
Accident,FTW82FRJ07,1982-01-02,"HOMER, LA",United States,Non-Fatal,Destroyed,Airplane,BELLANCA,17-30A,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Cruise,1982
Accident,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,Fatal(1),Destroyed,Airplane,CESSNA,R172K,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,1982
Accident,FTW82FPJ10,1982-01-02,"CHICKASHA, OK",United States,Fatal(1),Destroyed,Airplane,NAVION,A,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1982
Accident,FTW82FPG08,1982-01-02,"LITTLE ROCK, AR",United States,Fatal(2),Destroyed,Airplane,BEECH,19,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,1982
Accident,ANC82FAG14,1982-01-02,"SKWENTA, AK",United States,Fatal(3),Destroyed,Airplane,CESSNA,180,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Unknown,1982
Accident,NYC82DA016,1982-01-02,"GALETON, PA",United States,Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,1982
Accident,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,Non-Fatal,Substantial,Airplane,CESSNA,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,1982
Accident,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,Non-Fatal,Substantial,Airplane,CESSNA,150L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,1982
Incident,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,Incident,Minor,Airplane,PIPER,PA-24-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1982
Accident,LAX82FA040,1982-01-03,"10 NM W LEE VIN, CA",United States,Fatal(2),Destroyed,Airplane,GRUMMAN,AA-5B,No,1.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,IMC,Descent,1982
Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,Fatal(8),Destroyed,Airplane,CESSNA,414A,No,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,Approach,1982
Accident,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,Fatal(1),Destroyed,Airplane,BEECHCRAFT,BE-58,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,1982
Accident,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,Non-Fatal,Substantial,Airplane,MAULE,M-5-235C,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1982
Accident,MIA82DA030,1982-01-03,"COCOA, FL",United States,Non-Fatal,Substantial,Airplane,CESSNA,210L,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Descent,1982
Accident,LAX82DA035,1982-01-03,"SAN CLEMENTINE, CA",United States,Non-Fatal,Substantial,Airplane,BELLANCA,7GCBC,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Maneuvering,1982
Accident,FTW82DA036,1982-01-03,"FORT WORTH, TX",United States,Non-Fatal,Substantial,Airplane,CESSNA,182,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,1982
Accident,DEN82DTI09,1982-01-03,"GREENOUGH, MT",United States,Non-Fatal,Substantial,Airplane,AIR TRACTOR,AT-301,No,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Takeoff,1982
Accident,SEA82FA015,1982-01-04,"PLEASANT HILL, OR",United States,Fatal(4),Destroyed,Airplane,PIPER,PA-28-161,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Cruise,1982
Accident,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,Fatal(2),Destroyed,Airplane,PIPER,PA-34-200T,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,1982
Accident,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,Fatal(2),Destroyed,Airplane,CESSNA,T337G,No,2.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,IMC,Cruise,1982
Accident,FTW82DA035,1982-01-04,"ESTANCIA, NM",United States,Non-Fatal,Substantial,Airplane,PIPER,PA-28R-200,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,1982
Accident,LAX82FUM06,1982-01-05,"RAMONA, CA",United States,Fatal(3),Destroyed,Airplane,NAVION,A,No,1.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC,Cruise,1982
Accident,LAX82FA036,1982-01-05,"BLACK CANYON CI, AZ",United States,Fatal(1),Destroyed,Airplane,PIPER,PA-22,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1982
Accident,DCA82AA009,1982-01-05,"ITHACA, NY",United States,Fatal(2),Destroyed,Airplane,PIPER,PA-31,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Approach,1982
Incident,ATL82IA029,1982-01-05,"PENSACOLA, FL",United States,Incident,Minor,Airplane,ROCKWELL,114,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Cruise,1982
Accident,FTW82DA037,1982-01-05,"LONOKE, AR",United States,Non-Fatal,Substantial,Airplane,PIPER,PA-24-250,No,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC,Descent,1982
Accident,ATL82DA028,1982-01-05,"GASTONIA, NC",United States,Non-Fatal,Substantial,Airplane,PIPER,PA-28R-200,No,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Cruise,1982
Accident,LAX82DA037,1982-01-05,"SPRINGERVILLE, AZ",United States,Non-Fatal,Substantial,Airplane,CESSNA,TR182,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,1982
Accident,ANC82FA012,1982-01-05,"BETHEL, AK",United States,Non-Fatal,Substantial,Airplane,CESSNA,A185F,No,1.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Takeoff,1982
Accident,MKC82DA016,1982-01-06,"ROLLA, MO",United States,Non-Fatal,Substantial,Airplane,CESSNA,340,Yes,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Approach,1982
Accident,DEN82DA015,1982-01-06,"JACKSON, WY",United States,Non-Fatal,Substantial,Airplane,BEECH,35,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Climb,1982
Accident,CHI82DA021,1982-01-06,"PAXTON, IL",United States,Non-Fatal,Substantial,Airplane,CESSNA,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,1982
Accident,ATL82FLG08,1982-01-06,"HILTON HEAD, SC",United States,Non-Fatal,Substantial,Airplane,MOONEY,M-20J,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,1982
Accident,LAX82DVA10,1982-01-06,"NEAR BAKERSFIEL, CA",United States,Non-Fatal,Substantial,Airplane,BOEING,A75,No,1.0,Reciprocating,Unknown,0.0,1.0,0.0,1.0,IMC,Cruise,1982
Accident,DEN82FA016,1982-01-07,"HELENA, MT",United States,Fatal(2),Destroyed,Airplane,CESSNA,210,No,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,1982
Accident,ATL82DA031,1982-01-07,"WESTMINISTER, MD",United States,Non-Fatal,Substantial,Airplane,BEECH,V35,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1982
Accident,FTW82FRG20,1982-01-07,"LAREDO, TX",United States,Non-Fatal,Substantial,Airplane,CURTIS,C46,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,Standing,1982
Accident,MIA82FLD14,1982-01-08,"ODESSA, FL",United States,Fatal(1),Destroyed,Airplane,CESSNA,172M,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,1982
Accident,CHI82FA024,1982-01-08,"NEW PHILADELPHI, OH",United States,Fatal(1),Destroyed,Airplane,PIPER,PA-28-140,No,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Approach,1982
Accident,SEA82DA016,1982-01-08,"PULLMAN, WA",United States,Non-Fatal,Substantial,Airplane,CESSNA,TU206G,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,1982
Accident,NYC82DA019,1982-01-08,"CUTCHOGUE, NY",United States,Non-Fatal,Substantial,Airplane,CESSNA,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,1982
Accident,MKC82DA026,1982-01-08,"LIBERTY, MO",United States,Non-Fatal,Substantial,Airplane,PIPER,PA-24-250,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,1982
Accident,CHI82DA023,1982-01-08,"PEORIA, IL",United States,Non-Fatal,Substantial,Airplane,CESSNA,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,1982
Accident,CHI82DA022,1982-01-08,"SANDUSKY, OH",United States,Non-Fatal,Substantial,Airplane,CESSNA,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1982
Accident,ATL82DLG09,1982-01-08,"GRANTITEVILLE, SC",United States,Non-Fatal,Substantial,Airplane,CESSNA,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,1982
Accident,LAX82DVG12,1982-01-09,"NAPA, CA",United States,Non-Fatal,Substantial,Airplane,CESSNA,P210N,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,Landing,1982
Accident,FTW82DA039,1982-01-09,"FRUIT VALE, TX",United States,Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,1982
Accident,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,Non-Fatal,Substantial,Airplane,PIPER,PA-34,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Taxi,1982
Accident,LAX82FJA03,1982-01-09,"MOKULEIA, HI",United States,Non-Fatal,Substantial,Airplane,CESSNA,305 (L-19),No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,1982
Accident,DEN82FTE15,1982-01-09,"STEAMBOAT SPRIN, CO",United States,Non-Fatal,Substantial,Airplane,CESSNA,182A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,1982
Accident,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,Non-Fatal,Destroyed,Airplane,PIPER,PA-23-250,No,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,UNK,Approach,1982
Accident,LAX82DA041,1982-01-10,"BULLHEAD CITY, AZ",United States,Non-Fatal,Destroyed,Airplane,CESSNA,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,1982
Accident,CHI82FA025,1982-01-10,"WHEELING, IL",United States,Non-Fatal,Destroyed,Airplane,PIPER,23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,Takeoff,1982
Accident,ATL82FA032,1982-01-10,"HENDERSON, NC",United States,Fatal(1),Destroyed,Airplane,MOONEY,M20G,No,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Cruise,1982
Accident,LAX82FUQ07,1982-01-10,"MOJAVE, CA",United States,Non-Fatal,Substantial,Airplane,CESSNA,TU206F,No,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,Landing,1982
Accident,LAX82FUG05,1982-01-10,"UPLAND, CA",United States,Non-Fatal,Substantial,Airplane,QUICKIE,1,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1982
Accident,ANC82DA013,1982-01-10,"QUINHAGAK, AK",United States,Non-Fatal,Substantial,Airplane,CESSNA,U206,No,1.0,Reciprocating,Unknown,0.0,0.0,3.0,0.0,VMC,Cruise,1982
Accident,DEN82FTI10,1982-01-11,"NEAR BOZEMAN, MT",United States,Non-Fatal,Destroyed,Airplane,PIPER,PA-28-140,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Cruise,1982
Accident,DEN82FA017,1982-01-11,"RIVERTON, WY",United States,Fatal(4),Destroyed,Airplane,CESSNA,210N,No,1.0,Reciprocating,Personal,4.0,1.0,1.0,0.0,IMC,Takeoff,1982
Accident,DEN82FTE16,1982-01-11,"SAQUACHE, CO",United States,Non-Fatal,Substantial,Airplane,CESSNA,180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1982
Accident,ATL82DKJ09,1982-01-11,"AUBURN, AL",United States,Non-Fatal,Substantial,Airplane,CESSNA,310L,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1982
Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,Incident,Minor,Airplane,EMBRAER,EMB-110P1,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,Taxi,1982
Accident,ATL82FKQ09,1982-01-12,"ABERDEEN, MS",United States,Non-Fatal,Destroyed,Airplane,CESSNA,414,No,2.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,UNK,Descent,1982
Accident,FTW82FPA10,1982-01-12,"ADDISON, TX",United States,Non-Fatal,Substantial,Airplane,BEECH,P35,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,IMC,Descent,1982
Accident,MIA82DA033,1982-01-13,"MONTICELLO, FL",United States,Non-Fatal,Destroyed,Airplane,GRUMMAN,AA5B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Descent,1982
Accident,FTW82FPJ11,1982-01-13,"WATONGA, OK",United States,Non-Fatal,Substantial,Airplane,PIPER,PA-28R-201T,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,1982
Accident,FTW82DA040,1982-01-13,"HOBBS, NM",United States,Non-Fatal,Substantial,Airplane,BEECH,A23-24,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,1982
Accident,SEA82DA017,1982-01-13,"SPOKANE, WA",United States,Non-Fatal,Substantial,Airplane,PIPER,PA-31-350,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,Approach,1982
Accident,DEN82FA018,1982-01-15,"28 MI ENE OGDEN, UT",United States,Fatal(3),Destroyed,Airplane,CESSNA,T210N,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Climb,1982
Accident,MIA82DKJ03,1982-01-15,"MALONE, FL",United States,Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1982
Accident,SEA82DA018,1982-01-15,"SPOKANE, WA",United States,Non-Fatal,Substantial,Airplane,CESSNA,140,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,1982
Accident,NYC82FA021,1982-01-15,"JAMAICA, NY",United States,Non-Fatal,Substantial,Airplane,SWEARINGEN,SA 226-TC,No,2.0,Turbo Prop,Unknown,0.0,1.0,2.0,12.0,VMC,Takeoff,1982
Accident,CHI82DA027,1982-01-15,"ANOKA, MN",United States,Non-Fatal,Substantial,Airplane,BEECH,C-45H,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,1982
Accident,ANC82DA015,1982-01-15,"NEAR NUIQSUT, AK",United States,Non-Fatal,Substantial,Airplane,DE HAVILLAND,DHC-2-MK3,No,1.0,Turbo Prop,Unknown,0.0,0.0,0.0,4.0,VMC,Landing,1982
Accident,NYC82DA023,1982-01-16,"SWANTON, VT",United States,Non-Fatal,Substantial,Airplane,CESSNA,150M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Go-around,1982
Accident,LAX82FVG14,1982-01-17,"DAVIS, CA",United States,Fatal(1),Destroyed,Airplane,CESSNA,150M,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,1982
Accident,LAX82FUQ08,1982-01-17,"MOJAVE, CA",United States,Fatal(1),Destroyed,Airplane,BEDE AIRCRAFT,BD-5B,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,1982
Accident,LAX82FUJ24,1982-01-17,"SUNFLOWER, AZ",United States,Non-Fatal,Destroyed,Airplane,CESSNA,182P,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Other,1982
Accident,LAX82DA042,1982-01-17,"HONOLULU, HI",United States,Non-Fatal,Destroyed,Airplane,CONVAIR,440,No,2.0,Reciprocating,Unknown,0.0,0.0,2.0,1.0,VMC,Takeoff,1982
Accident,FTW82FRG21,1982-01-17,"PORT MANSFIELD, TX",United States,Fatal(1),Destroyed,Airplane,PIPER,PA-31,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Approach,1982
Accident,DEN82FA020,1982-01-17,"DELTA, UT",United States,Non-Fatal,Destroyed,Airplane,PIPER,PA-31T,No,2.0,Turbo Prop,Personal,0.0,0.0,3.0,0.0,VMC,Maneuvering,1982
Accident,ATL82FA035,1982-01-17,"PICAYUNE, MS",United States,Fatal(2),Destroyed,Airplane,BEECH,F50,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Takeoff,1982
Accident,ANC82DA014,1982-01-17,"ANCHORAGE, AK",United States,Non-Fatal,Destroyed,Airplane,CESSNA,150,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Takeoff,1982
Accident,DEN82DA019,1982-01-17,"CEDAR CITY, UT",United States,Non-Fatal,Substantial,Airplane,CESSNA,180E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,1982
Accident,ANC82DAG15,1982-01-17,"TULUKSAK, AK",United States,Non-Fatal,Substantial,Airplane,CESSNA,170B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1982
Accident,SEA82FYM08,1982-01-18,"ORCHARDS, WA",United States,Non-Fatal,Destroyed,Airplane,BEECH,C23,No,1.0,Reciprocating,Business,0.0,2.0,2.0,0.0,VMC,Descent,1982
Accident,LAX82FA047,1982-01-18,"DOWNIEVILLE, CA",United States,Fatal(1),Destroyed,Airplane,CESSNA,172M,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1982
Accident,ATL82FA039,1982-01-18,"BLAIRSVILLE, GA",United States,Fatal(3),Destroyed,Airplane,PIPER,PA-28-180,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Cruise,1982
Accident,FTW82DA045,1982-01-18,"S.E. OF HOUMA, LA",United States,Non-Fatal,Substantial,Airplane,CESSNA,180K,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,1982
Accident,ATL82FA037,1982-01-18,"MADISON COUNTY, AL",United States,Fatal(4),Substantial,Airplane,CESSNA,210L,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Approach,1982
Accident,MKC82FCQ08,1982-01-19,"CEDAR VALE, KS",United States,Fatal(1),Destroyed,Airplane,MOONEY,M20F,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Takeoff,1982
Accident,FTW82FPJ12,1982-01-19,"STILLWATER, OK",United States,Fatal(2),Destroyed,Airplane,BEECH,G35,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Maneuvering,1982
Accident,DEN82FTA09,1982-01-19,"WOLF PT., MT",United States,Fatal(1),Destroyed,Airplane,CESSNA,177B,No,1.0,Reciprocating,Business,1.0,2.0,0.0,0.0,UNK,Cruise,1982
Accident,DCA82AA012B,1982-01-19,"ROCKPORT, TX",United States,Fatal(3),Destroyed,Airplane,GRUMMAN,AA5A,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Approach,1982
Accident,DCA82AA012A,1982-01-19,"ROCKPORT, TX",United States,Fatal(3),Destroyed,Airplane,SWEARINGEN,SA226-T(B),No,2.0,Turbo Prop,Executive/corporate,3.0,0.0,0.0,0.0,IMC,Approach,1982
Incident,ATL82IA038,1982-01-19,"WASHINGTON, DC",United States,Incident,Minor,Airplane,DE HAVILLAND,DHC-6-300,No,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,1.0,IMC,Descent,1982
Accident,NYC82DA026,1982-01-19,"SOMERSET, PA",United States,Non-Fatal,Substantial,Airplane,PIPER,AEROSTAR 601P,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,1982
Accident,NYC82DA024,1982-01-19,"ENFIELD, NH",United States,Non-Fatal,Substantial,Airplane,CESSNA,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,1982
Accident,MKC82DA018,1982-01-19,"TOPEKA, KS",United States,Non-Fatal,Substantial,Airplane,CESSNA,182P,No,1.0,Reciprocating,Aerial Observation,0.0,0.0,1.0,1.0,VMC,Cruise,1982
Accident,MKC82DA017,1982-01-19,"URBANDALE, IA",United States,Non-Fatal,Substantial,Airplane,CESSNA,177RG,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Climb,1982
Accident,LAX82FUJ26,1982-01-19,"KINGMAN, AZ",United States,Non-Fatal,Substantial,Airplane,BEACHNER,QUICK SILVER,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Climb,1982
Accident,LAX82DA043,1982-01-19,"SANTA MONICA, CA",United States,Non-Fatal,Substantial,Airplane,CESSNA,182E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1982
Accident,FTW82DA042,1982-01-19,"SHREVEPORT, LA",United States,Non-Fatal,Substantial,Airplane,CESSNA,150H,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1982
Accident,CHI82DA056,1982-01-19,"NEAR LANSING, MI",United States,Non-Fatal,Substantial,Airplane,CESSNA,340A,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,UNK,Cruise,1982
Accident,CHI82DA028,1982-01-19,"GRAND RAPIDS, MI",United States,Non-Fatal,Substantial,Airplane,PIPER,PA-38-112,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,1982
Accident,MIA82FA034,1982-01-19,"MIAMI, FL",United States,Non-Fatal,Substantial,Airplane,CANADAIR,CL-44D4,No,4.0,Turbo Prop,Unknown,0.0,0.0,0.0,6.0,VMC,Landing,1982
Accident,ANC82DA019,1982-01-19,"TUNTUTULIAK, AK",United States,Non-Fatal,Substantial,Airplane,PIPER,PA-32,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Takeoff,1982
Incident,LAX82IA044,1982-01-20,"SAN JOSE, CA",United States,Incident,Minor,Airplane,PIPER,PA-31-350,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,1982
Accident,LAX82FA048,1982-01-20,"CHERRY VALLEY, CA",United States,Fatal(2),Destroyed,Airplane,BEECH,58,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,1982
Accident,LAX82FA045,1982-01-20,"ESCONDIDO, CA",United States,Fatal(3),Destroyed,Airplane,CESSNA,182N,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Descent,1982
Accident,ATL82FKQ10,1982-01-20,"MCCOMB, MS",United States,Fatal(1),Destroyed,Airplane,PIPER,PA-23-250,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Approach,1982
Accident,MIA82FA035,1982-01-20,"ORLANDO, FL",United States,Fatal(1),Substantial,Airplane,CESSNA,210,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,Approach,1982
Accident,FTW82DA044,1982-01-20,"MIDLAND, TX",United States,Non-Fatal,Substantial,Airplane,CESSNA,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,1982
Accident,SEA82FA032,1982-01-21,"BOISE, ID",United States,Fatal(4),Destroyed,Airplane,CESSNA,P210N,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Cruise,1982
Accident,MKC82FA019,1982-01-21,"NORTH KANSAS CI, MO",United States,Fatal(1),Destroyed,Airplane,CESSNA,402A,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC,Approach,1982
Accident,MIA82FA037,1982-01-21,"15NM W. OPA LOC, FL",United States,Non-Fatal,Destroyed,Airplane,DOUGLAS,DC-3,No,2.0,Reciprocating,Unknown,0.0,0.0,2.0,0.0,VMC,Takeoff,1982
Accident,LAX82FUJ25,1982-01-21,"BAGDAD, AZ",United States,Non-Fatal,Destroyed,Airplane,PIPER,PA-23-250,No,2.0,Reciprocating,Executive/corporate,0.0,1.0,2.0,0.0,IMC,Maneuvering,1982
Accident,LAX82FA050,1982-01-21,"10NM N. OF MCNA, AZ",United States,Fatal(1),Destroyed,Airplane,PIPER,PA-28-235,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1982
Accident,ATL82FLT02,1982-01-21,"NEW ALBANY, MS",United States,Fatal(1),Destroyed,Airplane,GRUMMAN,AA-1,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,1982
Accident,ATL82FKJ11,1982-01-21,"MUSCLE SHOALS, AL",United States,Non-Fatal,Destroyed,Airplane,PIPER,PA-32,No,1.0,Reciprocating,Personal,0.0,1.0,3.0,0.0,VMC,Approach,1982
Accident,ANC82DA016,1982-01-21,"PORT GRAHAM, AK",United States,Non-Fatal,Destroyed,Airplane,CESSNA,207,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Landing,1982
Accident,CHI82DA029,1982-01-21,"SHELL LAKE, WI",United States,Non-Fatal,Substantial,Airplane,MOONEY,M-20,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,1982
Accident,LAX82DA046,1982-01-21,"DOS PALOS, CA",United States,Non-Fatal,Substantial,Airplane,AIR TRACTOR,301,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,1982
Accident,LAX82FUQ09,1982-01-22,"LANCASTER, CA",United States,Fatal(2),Destroyed,Airplane,SONS MUSTANG,II,Yes,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Unknown,1982
Accident,LAX82DA060,1982-01-22,"CARSON CITY, NV",United States,Non-Fatal,Substantial,Airplane,CESSNA,172M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1982
