Aircraft Type,Accident Count,Fatal Accidents,Total Fatalities,Avg Severity Index,First Year,Last Year,Risk Score
BEECH BE 65 A90,0.0,1,0.002967359050445104,0.011461318051575931,1997,1997,0.0034792072304932276
GRAY QUESTAIR VENTURE,0.0,1,0.002967359050445104,0.011461318051575931,2000,2000,0.0034792072304932276
PIPER PA31   350,0.0,1,0.002967359050445104,0.011461318051575931,2014,2014,0.0034792072304932276
LEARJET LR60,0.0,1,0.002967359050445104,0.011461318051575931,2008,2008,0.0034792072304932276
CESSNA K172R,0.0,1,0.002967359050445104,0.011461318051575931,1994,1994,0.0034792072304932276
BEECH F90 42,0.0,1,0.002967359050445104,0.011461318051575931,2001,2001,0.0034792072304932276
PIPER AIRCRAFT PA 28 160,0.0,1,0.002967359050445104,0.011461318051575931,2016,2016,0.0034792072304932276
RODGERS BABY GREAT LAKES,0.0,1,0.002967359050445104,0.011461318051575931,1989,1989,0.0034792072304932276
ZLIN Z 42M,0.0,1,0.002967359050445104,0.011461318051575931,1999,1999,0.0034792072304932276
CESSNA AIRCRAFT 210M,0.0,1,0.002967359050445104,0.011461318051575931,2017,2017,0.0034792072304932276
BHI H60 HELICOPTERS LLC UH 60A,0.0,1,0.002967359050445104,0.011461318051575931,2021,2021,0.0034792072304932276
BEECH AIRCRAFT E55,0.0,1,0.002967359050445104,0.011461318051575931,2016,2016,0.0034792072304932276
EUROCOPTER AS 350 B,0.0,1,0.002967359050445104,0.011461318051575931,1995,1995,0.0034792072304932276
LITTLE EAGLE LE500,0.0,1,0.002967359050445104,0.011461318051575931,2016,2016,0.0034792072304932276
KERNER LANCAIR IV,0.0,1,0.002967359050445104,0.011461318051575931,2003,2003,0.0034792072304932276
PLAVCAN LANCAIR 235,0.0,1,0.002967359050445104,0.011461318051575931,2005,2005,0.0034792072304932276
AIRBUS HELICOPTER EC135T2+,0.0,1,0.002967359050445104,0.011461318051575931,2014,2014,0.0034792072304932276
PIPER PA 28 235 B,0.0,1,0.002967359050445104,0.011461318051575931,1985,1985,0.0034792072304932276
PIPER PA31 325,0.0,1,0.002967359050445104,0.011461318051575931,1990,1990,0.0034792072304932276
