Aircraft Type,Accident Count,Fatal Accidents,Total Fatalities,Avg Severity Index,First Year,Last Year,Risk Score
CESSNA 152,1.0,250,0.2893175074183976,0.000716937900098579,1982,2022,0.5158703905473788
BOEING 737,0.20634249471458774,16,1.0,0.01017221274925144,1985,2022,0.48457144043568545
CESSNA 172,0.7408033826638477,211,0.29525222551928787,0.001158881132140236,1982,2022,0.4146540194996823
CESSNA 172N,0.4913319238900634,203,0.31750741839762614,0.001562011101612025,1982,2022,0.3238481391353983
BOEING 747 168,0.0,1,0.25890207715133534,1.0,1996,1996,0.30356083086053415
TUPOLEV TU 154,0.0,1,0.25890207715133534,1.0,1996,1996,0.30356083086053415
BOEING 737 200,0.021987315010570822,11,0.6721068249258161,0.05373844407201168,1982,2007,0.2883853447889571
PIPER PA 28 140,0.4084566596194503,188,0.2440652818991098,0.0018134246762059123,1982,2022,0.2613714615426652
BOEING 777   206,0.0008456659619450317,2,0.3961424332344214,0.5100286532951289,2012,2014,0.2608009703375724
PIPER PA 28 181,0.23594080338266385,141,0.2878338278931751,0.002603913045706875,1982,2022,0.21003063511947698
CESSNA 172M,0.3369978858350951,132,0.18026706231454007,0.0014901149722443645,1974,2022,0.20720400225430297
BOEING 767 366 ER,0.0,1,0.1609792284866469,0.6217765042979942,1999,1999,0.18874699225425762
CESSNA 172P,0.2909090909090909,105,0.1765578635014837,0.0014721722025609141,1982,2022,0.18728121620474203
PIPER PA 28 180,0.2558139534883721,149,0.20919881305637983,0.002179730867069515,1982,2022,0.1864410527913147
CESSNA 150,0.3501057082452431,89,0.09421364985163205,0.000846810290300393,1982,2022,0.17789710529681016
CESSNA 182,0.27822410147991544,115,0.16172106824925817,0.0015174506828528071,1982,2022,0.17628155802824
BEECH A36,0.17674418604651163,148,0.2403560830860534,0.002926875970211514,1982,2022,0.16742548284706835
PIPER PA 28 161,0.24693446088794926,111,0.16617210682492584,0.001631033722724267,1982,2022,0.1655688338296949
BELL 206B,0.21775898520084566,115,0.18323442136498516,0.0022822682748050906,1982,2022,0.16085381628129336
MCDONNELL DOUGLAS DC 8 62,0.0,1,0.12908011869436203,0.498567335243553,1989,1989,0.15134551452645542
BOEING MD 82,0.002959830866807611,3,0.29896142433234424,0.14505730659025787,2003,2012,0.14977996339771232
AIRBUS INDUSTRIE A310 300,0.0,1,0.09198813056379822,0.5243553008595988,2006,2006,0.14166631239743907
AIRBUS A320   216,0.0,1,0.1201780415430267,0.4641833810888252,2014,2014,0.14090789283497573
PIPER PA 18 150,0.26596194503171244,77,0.08531157270029674,0.0009460135534634102,1982,2022,0.14069860980349636
CESSNA 180,0.2621564482029598,47,0.07640949554896143,0.0007982318932860855,1981,2022,0.13558602387942573
BOEING 767 200ER,0.0012684989429175475,3,0.21884272997032642,0.2313753581661891,2001,2002,0.1343195631985354
EMBRAER E135 LEGACY,0.0,1,0.1142433234421365,0.44126074498567336,2006,2006,0.1339494783739893
BOEING MD 83,0.0,1,0.11350148367952523,0.4383954154727794,2012,2012,0.133079676566366
AIRBUS INDUSTRIE A300B4 605R,0.0008456659619450317,2,0.19732937685459942,0.25787965616045844,1997,2001,0.1308459483587095
PIPER PA 23 250,0.13403805496828752,109,0.18991097922848665,0.0027301724603989836,1982,2022,0.13012564817078948
CESSNA 150M,0.24693446088794926,67,0.07640949554896143,0.0008375578576151643,1982,2022,0.1295050941462873
PIPER PA 18,0.2553911205073996,58,0.06528189910979229,0.0007672452579980582,1982,2022,0.12842265689847637
PIPER PA 32 300,0.15602536997885835,90,0.1632047477744807,0.0025400758925114226,1982,2022,0.12820006227983793
AIRBUS A321,0.0080338266384778,2,0.28264094955489616,0.054584527220630376,2010,2022,0.12718681592147568
ROBINSON R44,0.11247357293868922,117,0.18397626112759644,0.003487760643035747,1993,2022,0.11927748575512141
PIPER PA 31 350,0.12093023255813953,76,0.17581602373887242,0.0028852969659455088,1982,2022,0.11927556191199389
PIPER PA 24 250,0.15644820295983086,98,0.13649851632047477,0.002100726758779416,1982,2022,0.11759883306387814
PIPER PA 28R 200,0.1471458773784355,86,0.14540059347181009,0.0022495710215843876,1982,2022,0.11746850254441511
CESSNA 150L,0.19408033826638477,80,0.09347181008902078,0.0013205431668120095,1982,2022,0.11528496797552462
BOEING 747 131,0.0008456659619450317,1,0.17062314540059348,0.21967526265520534,1984,1996,0.1125225770760565
DOUGLAS MD 11,0.0008456659619450317,1,0.1698813056379822,0.218720152817574,1998,1998,0.11203481920348571
AIRBUS A330,0.013953488372093021,2,0.24554896142433236,0.029496039103320413,2006,2022,0.10970018773923425
PIPER PA 38 112,0.19999999999999998,60,0.07270029673590504,0.0009551098376313276,1982,2022,0.10927114066188828
BOEING  737 222,0.0,1,0.09124629080118694,0.35243553008595985,1996,1996,0.10698562233766676
BEECH 58,0.10190274841437633,88,0.1609792284866469,0.0030074119680788083,1982,2022,0.10575427315402507
MCDONNELL DOUGLAS MD 87,0.0,1,0.08753709198813056,0.33810888252148996,2001,2001,0.10263661329955023
CESSNA CITATIONJET 2,0.0,1,0.08753709198813056,0.33810888252148996,2001,2001,0.10263661329955023
BOEING 747 121,0.002959830866807611,1,0.20029673590504452,0.09742120343839542,1983,1995,0.10078686739641993
DOUGLAS DC 8 63,0.0025369978858350954,3,0.1951038575667656,0.10806385591485879,1984,2002,0.10066911336401205
AIRBUS A320,0.03551797040169133,4,0.2099406528189911,0.009876959379740435,2006,2022,0.10015884116422107
CESSNA 182P,0.1496828752642706,77,0.09940652818991098,0.0016223414988498326,1982,2022,0.0999602296814426
AIRBUS INDUSTRIE A320 233,0.0008456659619450317,2,0.14985163204747776,0.1977077363896848,2004,2008,0.09982046648170609
AEROSPATIALE CONCORDE VERSION 101,0.0,1,0.08382789317507419,0.32378223495702,2000,2000,0.09828760426143368
MOONEY M20J,0.12093023255813953,88,0.11869436201780416,0.0021365174765132834,1982,2022,0.09627714132568013
CESSNA 208B,0.07949260042283299,64,0.15875370919881307,0.004578463031185094,1987,2022,0.09621421645489543
BOEING B757,0.00042283298097251583,1,0.11869436201780416,0.2349570200573066,1995,2006,0.09463828201097199
PIPER PA 32 260,0.0985200845665962,66,0.13056379821958458,0.0033673744275463475,1982,2022,0.0923070279999816
BOEING 737 2T4,0.0,1,0.07566765578635015,0.2951289398280802,2003,2003,0.0892928502801561
AIRBUS A310,0.00042283298097251583,1,0.11275964391691395,0.21776504297994267,2005,2009,0.08882599935514313
MCDONNELL DOUGLAS DC 9 32,0.007610993657505285,4,0.1943620178041543,0.039511385914643336,1983,2002,0.0886914817675925
BOEING 747 300,0.002959830866807611,2,0.1698813056379822,0.09169054441260745,1987,2007,0.08747456348443741
BOEING 757 200,0.008456659619450316,3,0.1884272997032641,0.036839950880065496,1993,2013,0.08612157390509888
CESSNA 172S,0.15644820295983086,42,0.057863501483679525,0.0009267912171085658,1999,2022,0.08591004002082586
AIRBUS INDUSTRIE A320,0.0033826638477801266,2,0.17062314540059348,0.07513530722699777,1992,2008,0.084629385144749
PIPER PA 12,0.1522198731501057,49,0.05712166172106825,0.0008969036979418838,1982,2022,0.08391599468805798
CESSNA 170B,0.16405919661733614,33,0.04451038575667656,0.0007734179919122575,1982,2022,0.08358251654798754
PIPER PA28,0.1175475687103594,66,0.0897626112759644,0.0019307596717708557,1988,2022,0.0833102239288837
AIRBUS INDUSTRIE A 310,0.0008456659619450317,1,0.12537091988130564,0.1623686723973257,1989,2000,0.08296036881676541
CESSNA 182Q,0.11205073995771671,65,0.09124629080118694,0.0016696468966111554,1982,2022,0.08165274168288371
CESSNA T210N,0.10274841437632136,59,0.10014836795252226,0.0023251444407910186,1982,2022,0.08162374181969566
CESSNA 140,0.16913319238900634,30,0.03412462908011869,0.0007431278537181401,1982,2022,0.08145175415839365
PIPER PA 34 200T,0.09175475687103594,68,0.10905044510385757,0.0023527246917799216,1982,2022,0.08079262572831339
BOEING 727 134,0.0,1,0.06824925816023739,0.2636103151862464,2002,2002,0.08002176630134424
CESSNA 177,0.12473572938689217,46,0.07195845697329377,0.0017521102764655773,1982,2022,0.0790280965993675
TUPOLEV TU154,0.0008456659619450317,2,0.11869436201780416,0.15281757402101243,2002,2010,0.07837952599610216
PIPER PA 32R 300,0.08033826638477802,63,0.11275964391691395,0.0030903553908699496,1982,2022,0.0778572351988508
BOEING 727 235,0.0008456659619450317,2,0.1142433234421365,0.15759312320916904,1982,1986,0.07755422040346643
PIPER PA 30,0.09978858350951374,69,0.09124629080118694,0.0019948496608755578,1982,2022,0.0768129196564554
CESSNA 210,0.10951374207188161,53,0.08160237388724036,0.0016420542208507823,1982,2022,0.07677485722781895
DOUGLAS MD 83,0.0,1,0.06528189910979229,0.2521489971346705,2000,2000,0.07654255907085102
CESSNA A185F,0.1200845665961945,43,0.060830860534124634,0.0012969386216256974,1982,2022,0.0726255585764528
BOEING 707,0.001691331923890063,3,0.12833827893175076,0.10028653295128939,1989,2009,0.0720691509325142
BOEING 747 200,0.007188160676532769,2,0.15578635014836795,0.03374721426297358,1984,2006,0.071939247182555
CESSNA 172RG,0.10317124735729387,48,0.06973293768545995,0.001660721595228349,1982,2022,0.0694938183361472
CESSNA 177RG,0.09936575052854123,49,0.07195845697329377,0.0018454664659317175,1982,2022,0.06889877629392034
BRITISH AEROSPACE RJ 100,0.0,1,0.055637982195845696,0.2292263610315186,2003,2003,0.068100465084642
PIPER PA 22 150,0.12389006342494714,33,0.045252225519287835,0.0011890142876634896,1982,2022,0.06789471843522668
BELL 206,0.07061310782241015,59,0.09643916913946587,0.0030699959066721244,1982,2022,0.06743490996608484
CESSNA P210N,0.07949260042283299,55,0.08753709198813056,0.002668243355922439,1982,2022,0.06734552563556992
GRUMMAN G 164A,0.1547568710359408,18,0.013353115727002967,0.0003903718682416871,1982,2022,0.06732206907882583
CESSNA 185,0.1175475687103594,29,0.04970326409495549,0.0009653798358854279,1982,2022,0.06709340908930304
CESSNA A188B,0.13403805496828752,41,0.030415430267062317,0.0007298480834729956,1982,2022,0.06592736371083453
CESSNA 421C,0.05496828752642706,51,0.10756676557863502,0.004024584964675518,1982,2022,0.06581893823495993
CESSNA 206,0.09090909090909091,39,0.07270029673590504,0.0017510347023241006,1982,2022,0.06579396199846321
BOEING B737 200,0.0012684989429175475,2,0.10979228486646884,0.10601719197707736,2000,2008,0.06562775191917003
MOONEY M20C,0.08921775898520085,53,0.06899109792284867,0.001973292966426988,1982,2022,0.0636782013565052
CESSNA 150F,0.11120507399577167,45,0.04451038575667656,0.0012047408179213337,1982,2022,0.06252713206456356
ROBINSON R22,0.09809725158562368,54,0.05637982195845698,0.001401920877553279,1982,2022,0.062071213593142924
BOEING 757 23F,0.0,1,0.052670623145400594,0.20343839541547276,2002,2002,0.0617559283412548
ANTONOV AN148,0.0,1,0.052670623145400594,0.20343839541547276,2018,2018,0.0617559283412548
CESSNA T210M,0.07822410147991543,54,0.0741839762611276,0.002018054656930708,1982,2021,0.061366842027803355
BOEING B 757 23A,0.0,1,0.05192878338278932,0.20057306590257878,1996,1996,0.06088612653363149
CESSNA 208,0.04312896405919661,37,0.10608308605341246,0.005202103096224998,1985,2022,0.06072524066428864
BOEING 737 300,0.021564482029598306,4,0.12388724035608309,0.011351113070310778,1985,2018,0.06045091156833472
AERONCA 7AC,0.11416490486257928,34,0.03560830860534125,0.001279353767749712,1982,2022,0.060165156140718164
ATR ATR 72 212,0.0,1,0.050445103857566766,0.19484240687679083,1994,1994,0.059146522918384875
BOEING B 737 300,0.0012684989429175475,1,0.09792284866468844,0.09527220630372493,1990,1997,0.058730980303787386
CESSNA 172K,0.09344608879492601,36,0.05192878338278932,0.0014326647564469914,1982,2022,0.058436481822375534
PIPER PA 28 235,0.07653276955602537,46,0.06824925816023739,0.002235586762807393,1982,2022,0.05835992843906658
CESSNA T210L,0.07315010570824525,40,0.0712166172106825,0.0024042420050719624,1982,2022,0.058227537568585494
BOEING 707 323,0.0,1,0.025222551928783383,0.24068767908309455,1996,1996,0.058226556588132264
BOEING 737 400,0.012262156448202959,5,0.12240356083086054,0.019675262655205347,1989,2014,0.057801339442666466
PIPER PA 25 235,0.11416490486257928,38,0.02967359050445104,0.0008881464172807918,1982,2022,0.05771302743026829
BEECH V35B,0.06427061310782241,47,0.0771513353115727,0.0024720489915163774,1982,2022,0.057063189166061325
MOONEY M20F,0.06723044397463002,44,0.0712166172106825,0.0023101719197707736,1982,2022,0.05584085885807916
HUGHES 369D,0.09513742071881606,37,0.04302670623145401,0.0016101630448563532,1982,2022,0.0555876833890793
BEECH C23,0.08033826638477802,34,0.05637982195845698,0.0017852052986093402,1982,2022,0.05504427639701587
PIPER J3C 65,0.0989429175475687,35,0.037833827893175076,0.0015484972261171736,1982,2022,0.05502039762152095
MCDONNELL DOUGLAS DC 9 82,0.012684989429175474,2,0.11721068249258161,0.015158517423052038,1983,2006,0.05498997225331324
CESSNA 150G,0.10190274841437633,35,0.034866468842729974,0.0011129792322811338,1982,2022,0.05493028274929875
CESSNA 150H,0.10317124735729387,31,0.03338278931750742,0.0011695222501608093,1982,2022,0.054855519119952685
BOEING B737 800,0.002114164904862579,2,0.09124629080118694,0.08452722063037249,2006,2009,0.05424962640849432
DE HAVILLAND DHC 2,0.05581395348837209,31,0.07789317507418397,0.0028653295128939827,1982,2020,0.054055917327601226
CESSNA 150J,0.09513742071881606,38,0.03931750741839763,0.0011664173238329488,1982,2021,0.05401525471965207
BOEING 737 800,0.013953488372093021,1,0.1142433234421365,0.013062531602899038,1998,2022,0.053891231046271616
AIRBUS INDUSTRIE A320 211,0.004651162790697674,1,0.11127596439169139,0.03605539637058262,1990,2022,0.05358193014707215
CESSNA 402B,0.054122621564482026,36,0.07789317507418397,0.0031096599364740895,1982,2022,0.053428250642761216
BEECH 200,0.035940803382663845,29,0.09347181008902078,0.004464583194509229,1982,2022,0.0526579620275757
BEECH 95 B55,0.0507399577167019,50,0.07863501483679526,0.0029126903312889246,1982,2021,0.052332527087656656
CESSNA 207,0.07484143763213531,29,0.05341246290801187,0.0019960722449373814,1982,2022,0.05170077466504635
CESSNA U206G,0.0482029598308668,36,0.07863501483679526,0.004185872679705992,1982,2022,0.05157236440300603
BOEING 767,0.02832980972515856,2,0.09495548961424333,0.010070790493847969,1983,2021,0.05132827783453035
BELL 407,0.05285412262156448,40,0.07344213649851632,0.003411106562969027,1996,2022,0.05120072496062613
CESSNA 340A,0.04439746300211416,47,0.08160237388724036,0.0032708006703789805,1982,2022,0.0510540948898176
MOONEY M20K,0.057082452431289635,54,0.06824925816023739,0.0022332715321085454,1982,2021,0.05057933854303252
BOEING 727 223,0.007188160676532769,1,0.10459940652818991,0.027061445399554282,1982,2003,0.05012731596179994
CIRRUS DESIGN CORP SR22,0.06046511627906976,48,0.06305637982195846,0.002407672715695638,2008,2022,0.04989013298355042
PIPER PA 24 260,0.05158562367864693,40,0.06899109792284867,0.0024926037225988305,1982,2022,0.04872920938511801
LOCKHEED L 1011 385 1,0.005919661733615222,1,0.10014836795252226,0.02922636103151862,1983,2000,0.04827248408075872
MOONEY M20E,0.06300211416490487,41,0.05637982195845698,0.0019102196752626551,1982,2022,0.048134818384397274
CESSNA 310R,0.04989429175475687,48,0.06899109792284867,0.0028894079121619992,1982,2022,0.04813203745347462
BOMBARDIER CRJ 200,0.0,1,0.04080118694362018,0.15759312320916904,2004,2004,0.04783909941928188
DOUGLAS DC 9 32,0.006342494714587738,3,0.09940652818991098,0.02525071633237822,1983,2000,0.04734975242827514
CESSNA 177B,0.0668076109936575,35,0.050445103857566766,0.0018020940332666557,1982,2022,0.04726150474714304
BOEING 727 224,0.0054968287526427064,1,0.09718100890207715,0.03008595988538682,1983,2000,0.0470883270389653
PIPER PA 28 151,0.07526427061310782,32,0.04154302670623146,0.001616750172079845,1982,2022,0.04704626896215168
CESSNA 182A,0.0849894291754757,22,0.031899109792284865,0.0013333711594655168,1982,2022,0.04702208981899733
BELL 206L 1,0.06469344608879493,33,0.051186943620178046,0.002790905369701931,1982,2022,0.04691033695752958
CESSNA 421B,0.04355179704016913,31,0.0712166172106825,0.0038020718536477846,1982,2022,0.04666778007107021
BELLANCA 7GCBC,0.07864693446088795,32,0.03635014836795252,0.0011338737109847846,1982,2022,0.04622560787373314
LUSCOMBE 8A,0.08752642706131078,26,0.026706231454005934,0.0010056204540445227,1982,2022,0.04589418749693559
BOEING B737 300,0.002959830866807611,1,0.0897626112759644,0.04333810888252149,1990,2008,0.0457565986336131
PIPER PA 28R 180,0.04947145877378435,38,0.06305637982195846,0.0027439172453984748,1982,2022,0.04555991888737682
BOEING 707 321B,0.0012684989429175475,2,0.05489614243323442,0.1146131805157593,1990,2011,0.04538849265361265
PIPER PA 46 350P,0.047780126849894286,31,0.060830860534124634,0.0026139848187804755,1990,2022,0.04396719191736366
FOKKER 100,0.0012684989429175475,1,0.07195845697329377,0.07234957020057306,1993,2012,0.043760696406599145
PIPER PA 22,0.08964059196617337,12,0.019287833827893175,0.0009147530839285954,1982,2021,0.04375432093441234
BOEING 737   500,0.0,1,0.0370919881305638,0.14326647564469913,2013,2013,0.043490090381165344
"BOMBARDIER, INC. CRJ 100",0.0,1,0.03635014836795252,0.14326647564469913,2006,2006,0.043193354476120834
CESSNA 172H,0.07272727272727272,26,0.032640949554896145,0.0014575086539576328,1982,2022,0.042438790643659074
MCDONNELL DOUGLAS DC 10 10,0.016067653276955602,1,0.08234421364985163,0.013151127764308278,1982,2007,0.04199497232358455
FOKKER 50,0.0,1,0.03412462908011869,0.14040114613180515,2004,2004,0.041730080858408514
BELLANCA 17 30A,0.05665961945031712,33,0.04599406528189911,0.0020587923166719728,1982,2022,0.04147323235622089
BOEING 777 200ER,0.00042283298097251583,1,0.002225519287833828,0.20057306590257878,2007,2013,0.0411739540880383
CESSNA 414,0.03932346723044397,35,0.06157270029673591,0.0035054563189660425,1982,2022,0.04105955827466516
CONVAIR 640,0.0,1,0.02225519287833828,0.16045845272206302,1992,1992,0.04099376769574792
CESSNA 182R,0.04186046511627907,37,0.05934718100890208,0.002464183381088825,1982,2022,0.04097589512629023
PIPER PA 28,0.07357293868921776,17,0.02818991097922849,0.0011952517396643472,1982,2022,0.040944190215311364
CESSNA 210L,0.05581395348837209,30,0.04451038575667656,0.002111295430553461,1982,2020,0.04055199478413015
CESSNA U206F,0.034672304439746296,28,0.06454005934718102,0.003624814444022508,1982,2022,0.04040990840357543
CESSNA R182,0.05285412262156448,28,0.04599406528189911,0.0018419975440032747,1982,2022,0.03990767467018609
HUGHES 269C,0.07695560253699789,22,0.02225519287833828,0.0009707673759531526,1982,2021,0.0398784716413251
PIPER PA 24 180,0.042706131078224095,29,0.055637982195845696,0.00266868925220518,1982,2020,0.039871383160068954
PIPER PA 46 310P,0.03763213530655391,37,0.06008902077151335,0.0033747214262973575,1984,2022,0.03976340671648638
BEECH V35,0.03298097251585624,37,0.06454005934718102,0.0035544593957419026,1982,2021,0.03971930462436328
PIPER PA 32R 301T,0.038900634249471454,35,0.057863501483679525,0.0028961395076562836,1982,2022,0.03928488219479165
MCDONNELL DOUGLAS DC 9 14,0.002114164904862579,3,0.06528189910979229,0.060649474689589304,1985,2004,0.039088320543779816
CESSNA 172L,0.06427061310782241,25,0.032640949554896145,0.0013483903590089331,1982,2022,0.039034303136889215
BEECH 35,0.060887949260042276,27,0.03560830860534125,0.0019760893192372294,1982,2022,0.03899372101000086
MCDONNELL DOUGLAS DC 9 31,0.006765327695560253,3,0.08086053412462908,0.019214562615877295,1984,2005,0.038893257251251194
CESSNA 402C,0.04482029598308668,23,0.051186943620178046,0.002329753903007257,1982,2021,0.038868846621907344
SUKHOI SJ100,0.0,1,0.032640949554896145,0.12607449856733524,2012,2012,0.03827127953542551
CESSNA U206,0.04143763213530655,27,0.05192878338278932,0.0028942722352464476,1982,2022,0.03792542065428764
PIPER PA 32R 301,0.03255813953488372,32,0.06008902077151335,0.0032694144441995443,1982,2022,0.03771274701139874
BOEING 737 500,0.00507399577167019,2,0.07566765578635015,0.02600837557857615,1995,2018,0.03749833573892337
CESSNA 172R,0.07103594080338267,19,0.021513353115727003,0.0007968667876095691,1985,2022,0.03717909092516578
CESSNA TR182,0.046511627906976744,28,0.045252225519287835,0.0020651023516353026,1982,2022,0.03711856184083289
GRUMMAN G 164B,0.08118393234672304,14,0.01112759643916914,0.00043054174027940673,1982,2015,0.03701071986241276
BEECH F33A,0.04608879492600423,31,0.04451038575667656,0.002214118259963532,1982,2022,0.03668249592506502
BEECH A36TC,0.030866807610993655,30,0.058605341246290805,0.004452876945713622,1982,2021,0.03667943493205651
CESSNA 175,0.066384778012685,22,0.02448071216617211,0.0012150447934423851,1982,2022,0.036589205030231324
BELLANCA 8KCAB,0.0507399577167019,42,0.03931750741839763,0.0018707523266002037,1982,2021,0.036397136519359864
SUKHOI RRJ95,0.0,1,0.030415430267062317,0.1174785100286533,2019,2019,0.035661874112555586
ROBINSON R22 BETA,0.06469344608879493,23,0.02373887240356083,0.0009489078256986566,1989,2019,0.035562708962082044
CIRRUS SR22,0.042706131078224095,31,0.04451038575667656,0.0026967807180178663,2005,2022,0.03542596287756383
ROBINSON HELICOPTER COMPANY R44 II,0.060887949260042276,23,0.02596439169139466,0.0018180021736982513,2007,2022,0.03510453681531443
PIPER PA 34 200,0.0482029598308668,21,0.037833827893175076,0.0017441136165441634,1982,2018,0.034763537812925585
BELL 206L 3,0.042283298097251586,23,0.04228486646884273,0.0030639167068569322,1983,2022,0.03444004916780912
SCHWEIZER 269C,0.06469344608879493,17,0.020029673590504452,0.0013024225058609013,1985,2021,0.034149732372891935
ATR 72 500,0.00042283298097251583,1,0.04302670623145401,0.0830945558739255,2013,2014,0.033998726859755704
HILLER UH 12E,0.07145877378435518,12,0.011869436201780416,0.0008595988538681948,1982,2022,0.033503203765227876
CESSNA 170A,0.05919661733615222,17,0.02373887240356083,0.0010160742953524763,1982,2022,0.03337741075495572
CESSNA 170,0.0668076109936575,10,0.015578635014836795,0.0007388585536393288,1982,2022,0.03310227011412559
CESSNA 310,0.03932346723044397,29,0.04228486646884273,0.0021642382491007745,1982,2022,0.03307618112953484
PIPER PA 34 220T,0.03298097251585624,27,0.04821958456973294,0.0028653295128939827,1982,2022,0.033053288736814464
MCDONNELL DOUGLAS DC 10 30F,0.002114164904862579,1,0.04154302670623146,0.07736389684813753,1982,2006,0.032935656014065125
BOEING B 737 200,0.0012684989429175475,1,0.05341246290801187,0.05515759312320917,1983,1998,0.0329039033650136
CESSNA 172G,0.057082452431289635,17,0.02448071216617211,0.0012641159615708747,1982,2022,0.03287808903129888
CHAMPION 7ECA,0.058350951374207184,21,0.022997032640949554,0.0012574467646513162,1982,2020,0.03279068295899296
CESSNA 120,0.0668076109936575,12,0.014094955489614244,0.0007388585536393288,1982,2022,0.032508798304036565
PIPER PA 44 180,0.04312896405919661,22,0.0370919881305638,0.0017803989206331542,1982,2021,0.0324444606600308
CESSNA 340,0.02959830866807611,23,0.04896142433234422,0.0028249727591912505,1982,2022,0.03198888775200638
BOEING 747 400,0.011839323467230442,1,0.06157270029673591,0.012449362711194546,1989,2013,0.031854682047825454
ROBINSON R 22,0.055391120507399576,20,0.022997032640949554,0.0009334027958669792,1982,2008,0.03154194181851305
LOCKHEED 188C,0.0012684989429175475,1,0.05192878338278932,0.05085959885386819,1983,1990,0.031450832701056385
AIR TRACTOR AT 301,0.0668076109936575,15,0.01112759643916914,0.0005406282099799967,1982,2018,0.031282208615126664
CESSNA R172K,0.041014799154334036,25,0.034866468842729974,0.0018419975440032747,1982,2022,0.03072090670762626
PIPER PA 32RT 300,0.02959830866807611,30,0.045252225519287835,0.0038338916017595544,1982,2022,0.03070699199529749
BOEING 727,0.010993657505285411,4,0.060830860534124634,0.009338851745728535,1982,2020,0.030597577564909724
PIPER PA 31T,0.01902748414376321,23,0.05489614243323442,0.004796312445496449,1982,2020,0.030528713119898347
CESSNA 172F,0.054122621564482026,19,0.02077151335311573,0.0012882876879678372,1982,2022,0.03021531150463267
TAYLORCRAFT BC12 D,0.05454545454545454,21,0.020029673590504452,0.0013665417676878996,1982,2022,0.030103359607921182
CESSNA 182B,0.03763213530655391,16,0.03560830860534125,0.0021649156319643423,1982,2022,0.029729160691150936
BEECH S35,0.02748414376321353,30,0.045252225519287835,0.0030389858470087692,1982,2021,0.0297023448824023
BOEING 737 222,0.005919661733615222,1,0.057863501483679525,0.017956064947468958,1982,1999,0.029104478276411692
BELLANCA 8GCBC,0.049048625792811835,18,0.022997032640949554,0.0009551098376313276,1982,2021,0.029009285341030824
DE HAVILLAND DHC 6 300,0.009725158562367863,5,0.05637982195845698,0.012416427889207257,1982,2005,0.02892527778617139
BELL UH 1H,0.019873150105708243,20,0.04970326409495549,0.005193409742120344,1985,2022,0.028869247628689563
EMBRAER EMB 120RT,0.0012684989429175475,3,0.04451038575667656,0.052292263610315186,1991,1997,0.02877000660190068
BEECH 58P,0.027906976744186043,28,0.04228486646884273,0.0032929906342214427,1982,2014,0.0287353354120558
BOEING CT 42A,0.0,1,0.02448071216617211,0.09455587392550142,1996,1996,0.028703459651569133
PIPER PA 28R 201T,0.03805496828752642,23,0.032640949554896145,0.0018892282502597688,1982,2017,0.028656212787020983
FOKKER 28 4000,0.0,1,0.020029673590504452,0.10315186246418338,1992,1992,0.02864224192903846
CESSNA TU206G,0.03255813953488372,17,0.037833827893175076,0.00242450958783337,1982,2022,0.028641688888790196
CESSNA 310Q,0.03551797040169133,26,0.034866468842729974,0.002157424574414293,1982,2015,0.028585260612651382
CESSNA 421,0.025792811839323464,24,0.04302670623145401,0.003604769387189204,1982,2022,0.02824876110574883
BELL 212,0.021987315010570822,17,0.04599406528189911,0.00502784235281397,1982,2021,0.028198120587550772
CASA 235,0.0,1,0.002967359050445104,0.1346704871060172,2001,2001,0.02812104104138148
BELLANCA 7ECA,0.05116279069767442,16,0.0185459940652819,0.0010568838367231905,1982,2022,0.02809489067252717
PIPER PA 32RT 300T,0.03382663847780126,21,0.03412462908011869,0.0028299550744631924,1982,2022,0.027746498038060622
BOEING 737 204,0.00042283298097251583,1,0.034866468842729974,0.0673352435530086,1989,1992,0.027582769440082717
PIPER PA 28 236,0.030866807610993655,24,0.03635014836795252,0.0024006814837760396,1982,2021,0.027366918688333675
PIPER PA 20,0.058350951374207184,8,0.009643916913946587,0.0004328915091422564,1982,2022,0.027284525617089963
BEECH 1900D,0.023678646934460885,4,0.04302670623145401,0.002915598451716684,1993,2013,0.027265260956709295
PIPER PA 31,0.025792811839323464,21,0.04080118694362018,0.002911544505037434,1982,2018,0.027219908414184944
ATR ATR 72 202,0.0,1,0.011869436201780416,0.11174785100286533,2005,2005,0.027097344681285235
DOUGLAS DC 9 14,0.0,1,0.022997032640949554,0.08882521489971347,1985,1985,0.026963856036322516
BEECH 1900C,0.016067653276955602,9,0.04821958456973294,0.005363309088237455,1984,2018,0.026787556956322907
PIPER PA 28RT 201,0.02832980972515856,21,0.0370919881305638,0.002654643519298837,1982,2022,0.026699647846148714
PIPER PA 32 301,0.030866807610993655,16,0.03412462908011869,0.002052195461937582,1982,2022,0.026407013768832456
AIRBUS INDUSTRIE A310 324,0.0,1,0.02225519287833828,0.08595988538681948,2008,2008,0.02609405422869921
ROBINSON HELICOPTER R22 BETA,0.049048625792811835,15,0.01483679525222552,0.001591849729385546,2005,2022,0.025872538363892052
ATR 72,0.00042283298097251583,1,0.031899109792284865,0.06446991404011461,2004,2015,0.025822759917325876
CESSNA 441,0.01902748414376321,21,0.04302670623145401,0.003861965865204933,1983,2022,0.025594069323127876
PIPER PA34,0.02029598308668076,22,0.04154302670623146,0.004268756213086954,2009,2021,0.02558935515978228
BOEING 737 4Q8,0.00042283298097251583,0,0.0,0.12607449856733524,1995,2008,0.025384032905856054
